B_PWM:	-0.19	 ,DistA:	250	 ,ServoA_O:	165.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	250	 ,ServoA_O:	165.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1285	 ,ServoA_O:	170.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1285	 ,ServoA_O:	171.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1285	 ,ServoA_O:	171.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1285	 ,ServoA_O:	172.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1285	 ,ServoA_O:	172.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1380	 ,ServoA_O:	173.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1380	 ,ServoA_O:	173.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1380	 ,ServoA_O:	174.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1380	 ,ServoA_O:	174.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1433	 ,ServoA_O:	174.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1433	 ,ServoA_O:	175.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1433	 ,ServoA_O:	175.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1433	 ,ServoA_O:	176.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1433	 ,ServoA_O:	176.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1462	 ,ServoA_O:	177.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1462	 ,ServoA_O:	177.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1462	 ,ServoA_O:	178.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1462	 ,ServoA_O:	178.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1478	 ,ServoA_O:	179.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1478	 ,ServoA_O:	179.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1478	 ,ServoA_O:	179.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1478	 ,ServoA_O:	180.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1487	 ,ServoA_O:	180.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1487	 ,ServoA_O:	179.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1487	 ,ServoA_O:	179.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1487	 ,ServoA_O:	178.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1487	 ,ServoA_O:	178.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1492	 ,ServoA_O:	177.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1492	 ,ServoA_O:	177.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1492	 ,ServoA_O:	176.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1492	 ,ServoA_O:	176.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1495	 ,ServoA_O:	176.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1495	 ,ServoA_O:	175.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1495	 ,ServoA_O:	175.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1495	 ,ServoA_O:	174.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1495	 ,ServoA_O:	174.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1497	 ,ServoA_O:	173.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1497	 ,ServoA_O:	173.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1497	 ,ServoA_O:	172.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1497	 ,ServoA_O:	172.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	172.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	171.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	171.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	170.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	170.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	169.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	169.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	168.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	168.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	167.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	167.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	167.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	166.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	166.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	165.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	165.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	164.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	164.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	163.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	163.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	162.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	162.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	162.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	161.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	161.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	160.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	160.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	159.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	159.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	158.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	158.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	157.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	157.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	157.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	156.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	1498	 ,ServoA_O:	156.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	945	 ,ServoA_O:	155.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	945	 ,ServoA_O:	155.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	945	 ,ServoA_O:	154.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	945	 ,ServoA_O:	154.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	634	 ,ServoA_O:	153.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	634	 ,ServoA_O:	153.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	634	 ,ServoA_O:	153.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	634	 ,ServoA_O:	152.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	461	 ,ServoA_O:	152.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	461	 ,ServoA_O:	151.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	461	 ,ServoA_O:	151.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	461	 ,ServoA_O:	150.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	461	 ,ServoA_O:	150.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	363	 ,ServoA_O:	149.80
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	363	 ,ServoA_O:	149.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	363	 ,ServoA_O:	149.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	363	 ,ServoA_O:	148.40
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	308	 ,ServoA_O:	148.00
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	308	 ,ServoA_O:	147.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	308	 ,ServoA_O:	147.20
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	308	 ,ServoA_O:	146.60
	 State:	4	 ,MA_Cmd:	0.00	 ,MA_Fb:	0.00	 ,MA_PWM:	0.21	 ,MB_Cmd:	0.00	 ,MB_Fb:	0.00	 ,MB_PWM:	-0.19	 ,DistA:	308	 ,ServoA_O:	146.20
